Material Name:	TKES M 330-50 A
Comment:	PowerCore® M 330-50 A by ThyssenKrupp
Expire Date:	01.01.16
Mass Density:	7650	kg/m^3
Temperature:	23	°C
H[A/m]	B[T]	J[T]
0	0	0
28.063	0.10439	0.1043547
37.955	0.20712	0.2070723
44.899	0.30949	0.3094336
51.084	0.39173	0.3916658
57.203	0.48993	0.4898581
63.616	0.59572	0.5956401
71.085	0.68772	0.6876307
79.704	0.7888	0.7886999
90.13	0.88862	0.8885068
103.967	0.98994	0.9898093
123.64	1.09199	1.091835
155.188	1.19474	1.194545
214.989	1.29647	1.2962
362.869	1.39799	1.397534
531.702	1.44884	1.448172
849.668	1.4999	1.498832
1404.337	1.5509	1.549135
2273.619	1.60233	1.599473
5067.347	1.70572	1.699352
8000.002	1.7805	1.770447
10000	1.82214	1.809574
15000	1.90247	1.88362
20000	1.95573	1.930597
24999.99	1.99429	1.962874
30000	2.01974	1.982041
35000	2.03729	1.993308
40000	2.05004	1.999775

f=0 Hz
B[T]	P[W/kg]
0.10439	0.02076
0.20712	0.06796
0.30949	0.12783
0.39173	0.19721
0.48993	0.27683
0.59572	0.35994
0.68772	0.46235
0.7888	0.56555
0.88862	0.68199
0.98994	0.8085
1.09199	0.94834
1.19474	1.1041
1.29647	1.29987
1.39799	1.53633
1.44884	1.67766
1.4999	1.82694
1.5509	1.97039
1.60233	2.13233
1.70572	2.26536

f=50 Hz
B[T]	P[W/kg]
0.09996	0.02291
0.19997	0.08722
0.2998	0.17954
0.39969	0.29225
0.49989	0.42368
0.60007	0.57154
0.6999	0.73494
0.80011	0.91598
0.89988	1.11321
0.99976	1.33104
1.10014	1.57375
1.19985	1.84535
1.30018	2.16253
1.40008	2.53067
1.45029	2.75907
1.50079	3.00323
1.55147	3.25385
1.60279	3.49031
1.70625	3.92597
1.81173	4.35258
1.92124	4.76006

f=60 Hz
B[T]	P[W/kg]
0.10005	0.029
0.20008	0.1101
0.3001	0.22684
0.40012	0.37044
0.50012	0.53724
0.60009	0.72575
0.7001	0.93523
0.80026	1.1681
0.89978	1.42197
1.00024	1.7053
1.1002	2.01846
1.20022	2.37199
1.30008	2.77963
1.40057	3.25627
1.5012	3.86021
1.60272	4.49059
1.70662	5.07427
1.81188	5.63135
1.92116	6.17952

f=100 Hz
B[T]	P[W/kg]
0.09994	0.0552
0.19995	0.21099
0.29989	0.43814
0.39994	0.72206
0.49989	1.0551
0.59991	1.43584
0.7001	1.86459
0.80012	2.34445
0.8998	2.87828
0.99993	3.47702
1.09994	4.14989
1.19993	4.90562
1.3002	5.76918
1.40027	6.74195
1.50088	7.97216
1.60251	9.26346
1.70663	10.56281
1.81189	11.83774
1.9213	13.20097

f=200 Hz
B[T]	P[W/kg]
0.09994	0.14448
0.2	0.54967
0.29981	1.1453
0.39988	1.89852
0.49993	2.80001
0.59999	3.85224
0.69996	5.06109
0.80004	6.45016
0.90019	7.98296
1.00001	9.77278
1.10004	11.82129
1.20015	14.18091
1.30029	16.85491
1.40059	19.91974
1.50078	23.50718
1.60251	27.64872
1.70617	31.9793

f=400 Hz
B[T]	P[W/kg]
0.09995	0.40186
0.19999	1.50685
0.29997	3.12688
0.40012	5.20704
0.49983	7.74059
0.59998	10.80846
0.70017	14.45399
0.79984	18.76431
0.90008	23.8754
0.99971	29.80573
1.09997	36.75006
1.20019	44.79396
1.30022	54.0922
1.40023	64.668
1.50074	76.72466
1.6026	90.65144
1.61699	92.81826

f=500 Hz
B[T]	P[W/kg]
0.10005	0.56642
0.2	2.10591
0.2999	4.3533
0.39987	7.25395
0.50011	10.85828
0.60006	15.21619
0.7002	20.50759
0.8001	26.82659
0.89993	34.34364
1.00004	43.2259
1.10023	53.57907
1.20024	65.62074
1.30046	79.82141
1.40033	95.79726
1.50107	113.8967
1.60281	134.5967
1.61387	136.8825

f=700 Hz
B[T]	P[W/kg]
0.10001	0.98484
0.2	3.56949
0.29978	7.33554
0.40009	12.25641
0.50008	18.44936
0.60007	26.13576
0.70002	35.59517
0.80019	47.07839
0.90039	61.00347
1.00001	77.51015
1.10035	97.29953
1.20007	120.1853
1.30023	146.9465
1.40027	177.6612
1.501	211.9311

f=1000 Hz
B[T]	P[W/kg]
0.09997	1.73213
0.20003	6.14783
0.29998	12.56259
0.40007	21.1006
0.49999	32.08286
0.59989	45.95166
0.69995	63.47115
0.8	85.20869
0.90045	111.9278
1.00019	144.1875
1.1001	182.4049
1.20075	227.5195
1.30089	279.5629
1.40069	340.0025
1.50093	405.9096
1.60294	479.4324

f=2000 Hz
B[T]	P[W/kg]
0.09979	5.12374
0.20014	17.61777
0.30011	36.07255
0.39911	61.58818
0.50024	96.73423
0.6003	143.076
0.69829	202.839
0.80058	282.0569
0.9003	377.761
0.99798	492.5014
1.10116	636.2448

